Designator,Footprint,MidX,MidY,TB,Rot,Comment
P1,USB_C_Plug_Molex_105444,181.09,-90.24,T&B,0,USB_C_Plug_USB2.0
R1,0805R,178.75,-95,T,0,5.1k
